talk,link,talk_type,review_count,status,abstract,notes,private_notes,reviewers,average_review_score
afimaame: Leveraging Django's Features For Your Web Applications,https://cfp-2023.djangocon.africa/admin/talks/talk/13/change/,Regular talk - 45 minutes,2,S,"<p>Hi, I am Afi, a software engineer from Ghana and in this session, we will explore how to leverage the potential of Django's features for building robust web applications.</p>
<p>This session highlights:</p>
<ul>
<li>Authentication and Authorization for implementing secure user authentication mechanisms</li>
<li>Django Rest Framework: a powerful toolkit for building APIs which empowers you to create robust and scalable web services</li>
<li>How Django's ORM (Object-Relational Mapping) simplifies the management of complex data relationships, allowing you to model and manipulate data within your application efficiently.</li>
<li>Optimizing performance using Django's caching and pagination techniques, allowing your applications to handle increased traffic and deliver faster responses to your users.</li>
</ul>
<p>See you soon :)</p>",The talk can fit any audience but could be centered around beginner to mid-level since most advanced people may already know these techniques and have had vast experience building Django APIs or services.,,"k
Jess",1.875
josylad: SEO for Developers: How to Build Search Engine Friendly Web Apps,https://cfp-2023.djangocon.africa/admin/talks/talk/11/change/,Regular talk - 45 minutes,3,S,"<p>In today's digital landscape, capturing the attention of online users is paramount. Imagine the incredible impact even the smallest optimizations can have on your website's organic traffic. Search Engine Optimization (SEO) is the secret sauce that can make this a reality, and it's a topic that never fails to fascinate me.</p>
<p>With over a decade of experience in SEO, I've journeyed through the realms of blogging, internet marketing, and website development. Throughout my journey, SEO has been my steadfast ally and favourite subject, consistently propelling me towards remarkable results.</p>
<p>Now, as a software developer, I've noticed a crucial gap in the knowledge of my peers. While technical expertise is essential, it's equally vital to understand the wider aspects that drive the success of web applications.</p>
<p>Consider this: a staggering 93% of all web traffic flows through search engines. Neglecting to optimize your product for search engines can be catastrophic. If your web app doesn't appear in search engine results or fails to rank for relevant keywords, you're missing out on an immense pool of valuable traffic and potential customers.</p>
<p>That's why I'm thrilled to propose my talk on ""SEO for Developers: How to Build Search Engine Friendly Web Apps."" This presentation caters to developers of all levels, as well as non-developers eager to broaden their horizons in product development. We'll embark on an enlightening journey through the three major pillars of SEO:</p>
<ol>
    <li>Meta SEO: Craft compelling meta tags, titles, and descriptions to entice users and boost click-through rates.</li>
    <li>On-page SEO: Optimize your web app's content and structure to rank higher in search engine results.</li>
    <li>Indexing Optimization: Ensure search engines can effortlessly discover, crawl, and index your web app's content.</li>
</ol>

<p>At the end of this talk, you will have a good knowledge of SEO, its importance, how to implement it in a Django app and how to diagnose and fix common SEO issues. Let's master the art of captivating search engines together!</p>","Below are alternative titles: 
SEO for Developers - How to Build Search Engine-Friendly Django Apps
Discover the Magic of SEO: Unleash Your Django App's Potential
Unlocking the Power of SEO: Drive Organic Traffic and Skyrocket Your Web App's Success

I am also open to suggestions.",,"k
Jess
hamub",0.75
E.A.Nketiah: EVOLUTION OF THE REQUEST- RESPONSE LIFECYCLE: How the Request-Response Life-cycle Extends in DjangoRestFramework from Django,https://cfp-2023.djangocon.africa/admin/talks/talk/62/change/,Regular talk - 25 minutes,1,S,"<p>Django and DjangoRestFramework stand out as popular tools within the python community helping  developers build rapidly clean web applications and APIs while encouraging the use of pragmatic design. Designed to ease a developer’s hassle, these frameworks present different approaches to handling client requests and generating responses. Dissecting how requests are handled and how responses are returned in each of these instances - Django and DjangoRestFramework, is vital to knowing the requisites of each and how they diverge when using them in building web applications and restful APIs. </p>
<p>This talk seeks to highlight key components involved in the request-response life-cycle including URL dispatch, views(function or class based) and serializers as well as domain specific components introduced by DjangoRestFramework such as Routers and Viewsets which can ease the burden of writing longer lines of code when building restful APIs. Brief exposure on some additional functionality provided by DjangoRestFramework, such as data validation, serialization and authentication which make API development less cumbersome, will also be of immense benefit in discussion.</p>
<p>By the end of the talk, participants would gain insights into the tools and patterns offered by Django and DjangoRestFramework for developing robust restful APIs while developers already familiar with Django will understand the changes necessary to transition from building entire web applications to building restful APIs using DjangoRestFramework. In a nutshell, comprehensive understanding of what happens when a request is made and how a response is returned in both Django and DjangoRestFramework is key to making informed decisions when choosing the appropriate framework for web development projects.</p>",,,sheena,0.25
Jammie: Implementing modern stack data pipeline the open source way,https://cfp-2023.djangocon.africa/admin/talks/talk/63/change/,Regular talk - 45 minutes,1,S,"<p>Data teams globally are currently hyped about the cutting-edge modern data stack, using new tools and technologies designed to make the development of data pipelines seamless. In this presentation, I will highlight alternative open-source modern stack tools and technologies that data teams can leverage to build their data pipelines.</p>
<p>The audience is anyone who works in a data team, from data scientists, data engineers, data analysts, and Python developers across any level. By the end of the talk, listeners will know how to build modern data pipelines using awesome open-source tools because the talk will cover the entire lifestyle of building a data pipeline.</p>",,,sheena,0.5
Ronn_zw: Django security for novice,https://cfp-2023.djangocon.africa/admin/talks/talk/59/change/,Regular talk - 25 minutes,1,S,"<p>Have you ever developed a Django application and you wonder if your application is secure, then you end up second guessing yourself, eventually you end up getting cold feet and your project never see the light of day, well if you have this talk is for you. In this talk we will look at how to use guard rails that Django provides in order to build a secure application. </p>
<p>Django generally has security in mind as a priority however, one has to know these security aspects in order to implement them as well as avoid removing these controls, this talk will unbutton several security components and tools that are provided by Django and how to use them.  Furthermore this talk will highlight best practices that can be implemented within the Django framework before deployment. Last we will look at tools that you can use to check if your web application is working as a starting point.</p>
<p>At the end of the talk attendees should be able to identify security tools provided by Django and should be able to use them. Attendees will also be able to know where to look for the most common web security vulnerabilities.</p>","Talk details
==========

This talk will mainly cover Django security, it will look at things like: 
-------------------------------------------------
1) Cross site request forgery (CSRF) protection
2) SQL injection protection
3) Session security
4) User-uploaded content
5) Cross site scripting (XSS) protection 
etc

We will also look at security best practices: 
--------------------------------------------
- changing django admin url
- Debugging settings
- Secret key
- Updating versions

In conclusion
-------------
We will briefly look at the use of automated checks such as `python manage.py check --deploy`  i will also mention the possibility of using Dj CheckUp.


Presentation requirements
======================
Thunderbolt connection to projector
Preferably a moveable mic as will be a very interactive session.
Water
If possible preparation room and Wifi",,sheena,1.5
vndlovu: Python Debugging: Techniques & Tools,https://cfp-2023.djangocon.africa/admin/talks/talk/64/change/,Regular talk - 25 minutes,1,S,"<h2>Description</h2>
<p>Debugging is essential for every Python developer, yet it's often overlooked or underutilized. In this talk, we will dive into the art of debugging Python code and explore a range of techniques and tools to help you become a proficient debugger. From moving beyond print statements to leveraging powerful debuggers like <code>pdb</code>, <code>ipdb</code>, and the VSCode debugger, this talk will uncover effective strategies for finding and fixing bugs in your Python applications. Through hands-on demos, the audience will see these debuggers in action, gaining practical insights they can apply when debugging their code.</p>
<h2>Who and Why</h2>
<p>This talk is designed for developers of all levels who want to enhance their debugging skills in Python. Whether they are a beginner seeking to understand the basics or an experienced developer aiming to explore advanced debugging techniques, this session is for them. Attendees will gain practical knowledge and insights to help them become more efficient and effective problem solvers in debugging Python code.</p>
<h2>Outline of Points to be Covered:</h2>
<ol>
<li>
<p>Introduction to Python Debugging</p>
<ul>
<li>Importance of effective debugging</li>
<li>Common challenges faced during the debugging process</li>
</ul>
</li>
<li>
<p>Moving Beyond Print Statements </p>
<ul>
<li>Limitations of print() for debugging purposes</li>
<li>Understanding the drawbacks and pitfalls</li>
</ul>
</li>
<li>
<p>Introducing Powerful Debuggers </p>
<ul>
<li>Overview of pdb, ipdb, and the VSCode debugger</li>
<li>Key features and advantages of each debugger</li>
</ul>
</li>
<li>
<p>Hands-on Demos </p>
<ul>
<li>Walkthrough of real-world debugging scenarios</li>
<li>Showcase the use of debuggers to identify and solve bugs</li>
<li>Interactive session involving the audience in debugging exercises</li>
</ul>
</li>
<li>
<p>Conclusion and Q&amp;A</p>
<ul>
<li>Summary of key takeaways</li>
<li>Answering questions from the audience</li>
</ul>
</li>
</ol>",,,muheue,2.0
"Chitsenga: Open-Source Organizational Structure: Lets Speak One voice, Africa is One",https://cfp-2023.djangocon.africa/admin/talks/talk/65/change/,Regular talk - 25 minutes,1,S,"<p>An open-source organizational structure is a critical component of governance. It identifies the key decision-making entities in an organization. Africa is disconnected, that’s a well-known fact. This talk provides guidance for organizational structures, roles, and responsibilities within an open-source community backed by solid standards, policies, and procedures. </p>
<p>See you in Zanzibar, Tanzania as Elisha will be illustrating core open-source strategies meant to change lives in underprivileged communities powered by Django. And the case study from lessons learned from African open-source projects and how we connect with the world in order to realize and capitalize on at opportunities.</p>",This talk is mainly focused on getting on board all developers from Africa fighting for one common purpose because some of the challenges we face are similar across the continent by having tangible structures across Africa.,,sheena,0.5
kanharob23: Python in Orbit: Exploring Space Data and Building Web Apps with Django/Flask,https://cfp-2023.djangocon.africa/admin/talks/talk/66/change/,Tutorial/Workshop (2 - 4 hours),0,S,"<p>In this workshop, Python enthusiasts and web developers will embark on a captivating journey into space exploration using Python. Whether you're a beginner or an experienced developer, this workshop will equip you with the skills to retrieve real-time space data and build web applications to display and interact with that data using the Django or Flask framework. With hands-on exercises and practical examples, participants will learn how to leverage Python's requests library to communicate with the open-notify API, parse JSON data, and integrate it into a web application.</p>
<p>This workshop is designed for Python developers, web developers, and space enthusiasts who want to expand their skills in data retrieval, manipulation, and web app development. Whether you're new to Python or experienced in web development, this workshop provides a valuable opportunity to explore the exciting intersection of Python, space data, and web application development.</p>
<h2>Participants will come away from this workshop with a solid understanding of how to:</h2>
<ul>
<li>Make HTTP requests and handle responses using Python's requests library</li>
<li>Retrieve and parse real-time space data from the open-notify API</li>
<li>Convert JSON data into Python objects for easy manipulation</li>
<li>Set up a basic web application using Django or Flask framework</li>
<li>Display and interact with space data in the web app, including features like user input and data visualization</li>
<li>Gain inspiration for further exploration and projects related to space data and Python</li>
</ul>
<h2>Topics to be covered:</h2>
<ul>
<li>Introduction to Python's versatility in space exploration and web development</li>
<li>Retrieving and handling real-time space data with the requests library</li>
<li>Converting JSON data into Python objects using the <code>json</code> module</li>
<li>Setting up a basic web application using Django or Flask framework</li>
<li>Displaying and interacting with space data in the web app</li>
</ul>
<p>This workshop is motivated by the article I wrote on my blog: <a href="""" title=""https://kanhalelor.github.io/blog/03-09-2020-going-to-space-with-python.html"">article</a>.</p>","*Special Requirements: *
- Reliable internet access and laptops with Python, Django/Flask, and required libraries are necessary for active participation. Attendees will be informed in advance.

*Scheduling: *
- Workshop duration will be approx.: *2-3* hours is ideal, but the workshop can be transformed into a talk if there is limited time available in the conference schedule.

*Resource Materials: *
- Attendees will receive curated resource materials for further exploration and reference.


## Outline:

### Introduction: (10 minutes)
- Welcome and workshop overview
- Brief introduction to Python's versatility in space exploration and web development
- Setting the workshop goals and expectations

### Getting Started with Python and Requests Library:  (30 minutes)

- Brief recap of Python basics (for participants with minimal Python knowledge)
- Installation and setup of the requests library using pip
- Making HTTP requests with requests library
- Handling response status codes and error handling

### Exploring the Open-Notify API (30 minutes)

- Introduction to the ```open-notify``` API and its purpose
- Making requests to the open-notify API to retrieve astronaut data
- Parsing JSON data and converting it into Python objects using the ```json``` module

### Displaying Astronaut Data with Django/Flask (45 minutes)

- Overview of Django/Flask framework and its role in web app development
- Setting up a basic Django/Flask project
- Creating views and templates to display astronaut data
- Integrating the retrieved API data into the web app
- Running and testing the Django/Flask app locally

### Enhancing the Web App (20 minutes)

- Customizing the web app's design and layout with CSS

### Exploring Further Possibilities (15 minutes)

- Discussing additional APIs and datasets related to space exploration
- Brainstorming potential use cases and projects using Python in the context of space data
- Sharing resources for further exploration and learning

### Q&A and Wrap-up (15 minutes)

- Answering participant questions and addressing any concerns
- Summarizing key takeaways and reinforcing important concepts
- Providing additional resources and references for continued learning",,,
maaddae: Embracing Modern Software Development: The Twelve-Factor App,https://cfp-2023.djangocon.africa/admin/talks/talk/67/change/,Regular talk - 25 minutes,1,S,"<p>In this talk, we will delve into the principles of the Twelve-Factor App methodology, a set of best practices for building scalable, maintainable, and cloud-native applications. The Twelve-Factor App provides a comprehensive guide for modern software development, addressing key aspects such as codebase organization, configuration management, dependencies, scalability, and deployment processes.</p>
<p>We will explore each of the twelve factors individually, discussing their significance and practical implementation strategies. From treating backing services as attached resources to emphasizing the use of declarative formats for build and release processes, these factors promote agility, portability, and scalability, aligning with today's dynamic software landscape.</p>
<p>Furthermore, we will highlight the benefits of adopting the Twelve-Factor App methodology, such as improved collaboration, simplified onboarding, streamlined deployments, and increased resilience. By following these principles, developers and organizations can ensure their applications are well-suited for modern deployment platforms, including cloud infrastructure and containerization technologies.</p>
<p>Whether you are a software developer, architect, or decision-maker, attending this talk will equip you with a solid understanding of the Twelve-Factor App methodology and its relevance in today's software development practices. You will gain insights into how these principles can empower your team to build resilient and scalable applications that embrace cloud-native environments. Join us to unlock the secrets of successful application development in the modern era.</p>",,,k,1.5
josephnjogu487: Deploying and publishing Django apps.,https://cfp-2023.djangocon.africa/admin/talks/talk/68/change/,Regular talk - 45 minutes,0,S,"<p>Going with the mantra, if it's not shipped it's nonsense. In this session we aim at delving into how to deploy a Django application on cloud(GCP, AWS) and also to publish a python library built using Django on PYPI registry. 
In the first part, we will use, Docker, docker-compose, Nginx and Gunicorn to build deployable artifact, then use Ansible to provision the cloud platform to deploy our application.</p>
<p>In the second and last part, we will dive into publishing Django made libraries on PyPi registry using twine. And of course automate all these two steps using CircleCI.</p>",,,,
andilejaden: Boosting Django to Warp Speed: Optimizing for High-Performance Web Applications,https://cfp-2023.djangocon.africa/admin/talks/talk/69/change/,Regular talk - 25 minutes,0,S,"<p>Calling all Django enthusiasts and web development adventurers! Join us on an interstellar journey as we explore the secrets to optimizing Django applications for blazing fast performance and harnessing real-time communication capabilities with Django Channels.</p>
<p>In the first part of our mission, we'll embark on a quest to maximize the performance of Django applications. We'll dive into the universe of caching, discovering powerful techniques to boost response times and minimize server strain. We'll unlock the potential of database optimization, navigating through indexing, query optimization, and reducing those pesky round-trips. Brace yourselves for the future of web development as we delve into the realms of asynchronous programming with Django, harnessing the power of warp-speed responsiveness and scalable concurrency.</p>
<p>But that's not all, space explorers! In the second part of our odyssey, we'll embark on a mission to bring real-time communication to Django applications using the extraordinary capabilities of Django Channels. We'll unravel the mysteries of the WebSocket protocol, enabling us to create interactive, real-time applications that will mesmerize users. Together, we'll construct a real-time chat application that transcends the boundaries of traditional web experiences. Prepare for a mind-bending exploration as we unveil the magic of real-time notifications, where users are instantly alerted to vital events as they unfold.</p>
<p>Buckle up, Django astronauts, as we traverse the challenges of scaling and deployment considerations in our quest for stellar performance. We'll navigate the cosmos of load balancing WebSocket connections, managing multiple processes and threads, and conquering the complexities of stateful connections across servers.</p>
<p>Whether you're a Django novice or an experienced cosmic traveler, this talk will equip you with the knowledge and tools to propel your Django applications to new frontiers of performance and real-time interaction.</p>
<p>Join me on this exhilarating voyage and prepare to witness the fusion of Django excellence with the power of rocket science fandom. Get ready to blast off into a universe where high-performance web applications and real-time communication reign supreme!</p>",,,,
"Theresa_Sey: Before you Scale, let's talk SOLID",https://cfp-2023.djangocon.africa/admin/talks/talk/72/change/,Regular talk - 45 minutes,0,S,"<p>In the fast-paced world of software development, scaling often takes center stage as organizations strive to meet growing demands and increasing user expectations. However, it is essential to lay a strong foundation before addressing scalability. This talk aims to shed light on the importance of software design principles encapsulated by SOLID, providing a comprehensive understanding of how they contribute to building robust, maintainable, and scalable software systems. By emphasizing SOLID principles as a prerequisite to scaling, developers can optimize their codebases, reduce technical debt, and lay the groundwork for future growth.</p>
<p>In the race to scale software systems, many developers neglect a crucial aspect—solid software design. Without a solid foundation, scaling can become a painful and error-prone process, leading to maintenance nightmares and diminishing productivity. This talk will explore the significance of SOLID principles as a prerequisite for scaling and discuss how they empower developers to create scalable and maintainable software and use these principles within the Django framework..</p>
<p>The talk will begin with a brief introduction to the SOLID principles, namely Single Responsibility, Open-Closed, Liskov Substitution, Interface Segregation, and Dependency Inversion. We will delve into each principle, examining their individual importance and understanding how they interrelate to promote good software design practices.</p>
<p>Next, we will discuss the benefits of adhering to SOLID principles. We will explore how SOLID principles enhance code maintainability, extensibility, and testability, leading to a reduction in technical debt and a smoother scaling process. By focusing on these principles, developers can create modular, loosely coupled components that are easier to understand, modify, and scale.</p>
<p>Furthermore, I will highlight on how applying SOLID principles using Django and Python and also understanding how these principles can be integrated into the design and development process of Django applications, guidelines on how to apply SOLID principles within the Django framework.</p>
<p>To conclude the talk, we will discuss how to use Django's built-in features, such as models, serializers,  and class-based views, to reduce code duplication and promote consistency. Attendees will leave the session equipped with actionable steps to start applying SOLID principles immediately in their projects, ensuring a solid foundation for scalability.</p>
<p>Target Audience:
This talk is suitable for software developers, architects, and technical leads who are interested in understanding the importance of SOLID principles in building scalable software systems and how to apply within the  Django framework. By emphasizing the importance of SOLID principles before tackling scalability, this talk aims to shift the mindset of developers and organizations, enabling them to build software systems that can handle growth effectively while maintaining high code quality.</p>",,,,
ANAYE: Flutter + Django: Meeting your Mobile Development Deadlines with Perfection,https://cfp-2023.djangocon.africa/admin/talks/talk/73/change/,Regular talk - 25 minutes,0,S,"<p>Flutter is an open-source framework that allows us to create mobile apps for different platforms and screens using a single codebase. Django is another open-source framework used for building secure web apps with speed. </p>
<p>Combining Flutter with Django gives us a fast development workflow for making performant mobile apps.
This talk will show how to leverage the features of both frameworks to build beautiful mobile apps with secure backends.</p>",,,,
sheena: Adventures in education,https://cfp-2023.djangocon.africa/admin/talks/talk/74/change/,Keynote - 1 hour,1,S,"<p>If you want to be a successful programmer then that takes a lot more than just knowing the technical stuff. </p>
<p>At the end of 2018, I started working at Umuzi, a little-known non-profit training provider in Jeppestown, South Africa. What we did was find high-potential young people and hire them to learn.  At the end of a year with us, we would plug them into real jobs.  We took noobs and turned them into professionals.</p>
<p>Then 2020 happened. That was rough. Covid forced us to send all our learners home and figure out how to train them remotely.  As horrible as Covid was, it was actually good for Umuzi in the end: It forced us to adapt. We are now able to train people remotely, so we work at a much grander scale.  We are no longer limited to South Africa, we have taught learners as far afield as Nigeria and Kenya.  And we are good at what we do - more than 80% of our grads manage to launch good careers immediately after our programs.</p>
<p>It's been a wild ride.  I've personally learned a lot along the way.  In this talk, I aim to share a few of my hard-won lessons about how to take a noob and turn them into a professional.</p>
<p>This talk will be useful to you if:</p>
<ul>
<li>you are just starting out in your career </li>
<li>you are involved in mentoring or training junior developers</li>
<li>you hire junior developers and want them to be effective</li>
</ul>",I'm submitting a few similar talks. This one is primarily aimed at giving people knowledge that they can apply. It aims to be helpful,,hamub,1.75
sheena: A tale from the trenches - how Django helped Umuzi survive Covid,https://cfp-2023.djangocon.africa/admin/talks/talk/75/change/,Keynote - 1 hour,1,S,"<p>At the end of 2018, I started working at Umuzi, a little-known non-profit training provider in Jeppestown, South Africa. What we did was find high-potential young people and hire them to learn.  At the end of a year with us, we would plug them into real jobs.  We took noobs and turned them into professionals.</p>
<p>Then 2020 happened. That was rough. Covid forced us to send all our learners home and figure out how to train them remotely.  As horrible as Covid was, it was actually good for Umuzi in the end: It forced us to adapt. We are now able to train people remotely, so we work at a much grander scale.  We are no longer limited to South Africa, we have taught learners as far afield as Nigeria and Kenya.  </p>
<p>We are good at what we do - more than 80% of our grads manage to launch good careers immediately after our programs. </p>
<p>In this talk I'll share our story - you'll hear about how we managed to survive and thrive when the odds were against us. And you'll hear about Django's role in our survival and continued operations.</p>",I'm submitting a few similar talks. This one aims to show how Django helped save our organization.  It's a cool story :),,hamub,2.0
"ahmadsadri: Hosting, Hosting and Hosting",https://cfp-2023.djangocon.africa/admin/talks/talk/76/change/,Regular talk - 45 minutes,0,S,"<h1>Talk</h1>
<p>Many developers working on web development host their solutions on their machines aka localhost. When the reality is that websites live in the sky aka the cloud. In this talk we will go through the benefits of hosting and what are the options that developers have for hosting, namely on their local network, on their phone, on their computer connected to a local ISP, on a Virtual Private Server and on cloud providers where you just submit code.</p>
<h1>Audience</h1>
<p>This workshop is aimed at people who never hosted their websites or never hosted a client's website.</p>
<h1>Aim</h1>
<p>By the end of the workshop, the attendees should have the knowledge needed to host their web solutions.</p>",This is my first time speaking,,,
felixx: Wonderful world of the limitless Django Lookups,https://cfp-2023.djangocon.africa/admin/talks/talk/77/change/,Regular talk - 25 minutes,0,S,"<p>This talk will dive listeners into the wonderful world of the limitless Django ORM. We will present a detailed explanation of one of its key components, <a href=""https://docs.djangoproject.com/en/stable/ref/models/lookups/#module-django.db.models.lookups"">Lookups</a>:</p>
<ul>
<li>How it works?</li>
<li>What does the API behind it look like?</li>
<li>How it builds filter statements?</li>
<li>How to create our own lookups? (basic and advanced)</li>
</ul>
<p>We will also show how to use Django 4.2+ feature of <a href=""https://docs.djangoproject.com/en/stable/ref/models/lookups/#lookup-registration-api"">registering lookups</a> on <code>Field</code> instances to organize and reuse complex logic in the ORM components instead of building complex querysets.</p>","I'm not an experienced speaker, this would be my second talk on a Python/Django conference and the first on the Django Con!",,,
Chitsenga: Defining Django Developer Security Wise Mindset,https://cfp-2023.djangocon.africa/admin/talks/talk/78/change/,Keynote - 1 hour,0,S,"<p>A software developer's security strategy can be defined in many ways. While the definitions generally point in the same direction, they vary widely in scope, emphasis, and detail. Strategy derives from the military definition: the plan to achieve an objective. As is typical, the basic developer concept has been expanded and grown more complex, although this does not always improve understanding of the concept. Two initial elements are needed to develop a plan to achieve an objective: a well-defined objective or objectives and an understanding of the current conditions. </p>
<p>Essentially, a strategy requires knowing where you are and where you need to go, then analyzing the gap between those two locations to determine what needs to be achieved to bridge the gap. Join Elisha during DjangoCon Africa to explore the sea of knowledge in developing world-renowned software products.</p>","The objective of the security strategy is the desired state defined by business and security attributes. The strategy provides the basis for an action plan composed of one or more security programs that, as implemented, achieve the security objectives. The action plan(s) must be formulated based on available resources and constraints, including consideration of relevant legal and regulatory requirements. This talk is fundamental to all stakeholders in the software development fraternity, as we do it securely and trust will be established automatically.",,,
daniele: CV and job application clinic,https://cfp-2023.djangocon.africa/admin/talks/talk/112/change/,Tutorial/Workshop (2 - 4 hours),0,S,"<p>In this hands-on session we'll look at your CV and the way you approach job applications, to help give you a better chance of success.</p>
<p>In your CV, I'll show you ways to tell your story better, and help you avoid some common mistakes - we'll look at and improve actual CVs, and you'll get the chance to work on your own in the workshop.</p>
<p>We'll look at some real-world job advertisements, and decode them to see more clearly the things that they're really looking form. I also will share some techniques for interview preparation.</p>
<p>I hope you'll come away more confident, with more understanding about what prospective employers are looking for, and how to show that you have it.</p>",I am a hiring lead at Canonical. I have seen thousands of applications and interviewed hundreds of candidates. This workshop will bring that perspective to help job-seekers do better.,,,
mariam_muhammed: Enhancing Django Web Application Performance through Caching: Effective Strategies and Best Practices,https://cfp-2023.djangocon.africa/admin/talks/talk/80/change/,Regular talk - 25 minutes,0,S,"<p>The proposed talk on enhancing Django web application performance through caching is designed for developers, software engineers, and web application architects who work with Django and are interested in optimising the performance of their applications. The audience will benefit from gaining a deeper understanding of caching concepts, strategies, and best practices specific to Django.</p>
<p>During the talk, attendees will learn about the importance of caching in improving web application performance and how it can be effectively implemented in Django. The speaker will cover various caching strategies, including page-level caching, template fragment caching, and database query caching, providing insights into when and how to apply each strategy. Additionally, the talk will address the challenges of cache invalidation.</p>
<p>The audience can expect to gain practical knowledge and actionable insights on implementing caching in Django applications. They will leave the talk equipped with a solid understanding of caching concepts, a toolkit of caching strategies, and best practices to optimise the performance of their Django web applications. By applying the knowledge gained from the talk, attendees will be able to enhance the speed and responsiveness of their applications, resulting in improved user experience and overall customer satisfaction.</p>",,,,
jon_atkinson: Leaving The Cloud,https://cfp-2023.djangocon.africa/admin/talks/talk/81/change/,Regular talk - 25 minutes,2,S,"<p>We recently moved about 100 live Django applications away from AWS, and to our own dedicated hosting environment. Our own hardware in a data-centre, just like we used to have in the 90's! Along the way, we: </p>
<ul>
<li>massively reduced complexity</li>
<li>increased performance</li>
<li>saved SO MUCH MONEY</li>
<li>reduced our carbon output</li>
<li>and made our engineers super happy. </li>
</ul>
<p>We couldn't have done this without Django.</p>
<p>I want to tell this story to people who are just starting their careers in web engineering, and those who might find a new perspective valuable. There are so many engineers who have only ever known 'the cloud' as the platform way to build things.</p>
<p>I want to raise awareness that there are other ways to deploy and operate our Django projects, which aren't scary, or unreliable, and that you almost never need to chase the 99.999% uptime that cloud marketing people tell you about! I want to talk about the wonderful simple underpinnings of Django which let us do so much with boring boring technologies like ""just a filesystem"", ""just SQLite"", and just processes running on Linux.</p>","No specific thoughts.

I'm a first time speaker, if that is relevent.",,"hamub
Anna",2.0
ryanhiebert: Superpowered layouts: when template inheritance falls short,https://cfp-2023.djangocon.africa/admin/talks/talk/83/change/,Regular talk - 25 minutes,1,S,"<p>Modeled after class inheritance, template inheritance is a powerful mechanism for sharing layouts between templates. Yet it is simultaneously over-complex and under-powered. </p>
<p>For example, many layouts need to have data pulled from the database and put into context. This is usually the realm of views, but if you have a layout that is shared across many views, you may have to duplicate those queries in many views, mixing layout logic with page logic. You can use context processors or custom tags, but those seem like overkill for such a common use-case.</p>
<p>There's a better way, layout views and routes. Layout routes are a major feature of Remix, a React-based center-stack framework from the creators of React Router. The way Remix leans into web standards makes it easier to see that this doesn't have to remain unique to them.</p>
<p>Together we'll explore how you can use layout views and layout routes to make the common case simpler, often without even having to specify them in your page views, and how they can help you to organize and compose your application logic and templates to keep related logic and templates closer to each other.</p>","I'm developing this idea in a sample repository here: https://github.com/ryanhiebert/temploco/blob/main/temploco/urls.py

This is an early bit of work in a long-term plan to integrate this idea and HTMX together to expose some really neat partial-loading primitives that I'm not ready to share about yet. Remix inspired me with being able to pull frontend and backend code together in a way that didn't compromise the frontend experience, and HTMX inspires me to lean into Hypermedia as the interface between the client and server.


I live in the US, and would need significant financial assistance to attend the conference. I intend to submit for the opportunity grant next week, as I'm traveling the remainder of this week. I do have a current passport.",,hamub,2.0
zaycodes: A force for change: incorporating technical writing into engineering teams and processes.,https://cfp-2023.djangocon.africa/admin/talks/talk/82/change/,Regular talk - 25 minutes,0,S,"<p>In the world of engineering, technical writers are somehow regarded as a myth - they are too few and far between. Some seasoned engineers might even let you know that they have never encountered a technical writer in X years of their career, no matter how long. This isn't a shock, but it's very interesting how a very vital role in the engineering world is neglected and sometimes even considered irrelevant, especially as we need documentation to learn most things we work with.  This talk emphasizes why adding technical writers to engineering teams matters. They bridge the gap between complex ideas and clear communication, making it easier for everyone to understand.</p>
<p>Integrating technical writers is about more than just sharing information. It's like creating a beautiful harmony between engineering and words. Their organized approach to documentation captures the entire engineering process, benefiting the team and passing on valuable knowledge. This leads to smoother teamwork, better learning for new members, and ongoing innovation.</p>
<p>Attendees will gain a comprehensive understanding of the pivotal role played by technical writers in engineering and technology. They will recognize the significance of integrating technical writers into their teams and processes and the far-reaching impact it has on enhancing communication and user experiences.</p>","This talk has no special requirements. It is suited for a technical writing and engineering audience, and anyone just curious about the concept.",,,
